p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	specificity
0	0.568283124486956	0.363	0.008	0	82	Tal1	11.7760891907575
2.92680650696101e-87	2.01083559211185	0.735	0.129	9.44919480772361e-83	82	Nell1	10.7775001159952
2.77432384649792e-70	1.15552810658504	0.115	0.004	8.95690453841854e-66	82	Pkd1l2	10.3172152373665
0	0.507233446813107	0.265	0.004	0	82	Gata3	9.96351413382889
1.03923970662103e-77	1.74641254915793	0.673	0.114	3.35518539282599e-73	82	Kcnmb2	9.61935299253927
3.02896516115324e-102	1.60099503629911	0.743	0.117	9.77901402278324e-98	82	Slc44a5	9.49251387663959
8.36913362747654e-120	0.940203212148808	0.496	0.041	2.7019747916308e-115	82	Gnasas1	9.32829069308425
1.15490080541243e-91	0.934609100388638	0.381	0.032	3.72859725027403e-87	82	Dlk1	8.70076567266565
9.61391038985922e-104	1.47444161690184	0.85	0.144	3.10385096936605e-99	82	Gad2	8.23389474373756
4.56853073373806e-73	2.29936654642649	0.912	0.267	1.47495014738733e-68	82	Zfpm2	7.65348720507301
3.68431205911944e-63	2.01292634611262	0.867	0.234	1.18948014828671e-58	82	Cntn5	7.23498526860971
8.64270652732878e-53	2.25090919217303	0.885	0.286	2.7902978023481e-48	82	Kcnh7	6.8059585371448
1.88975646897782e-71	1.75262215432809	0.938	0.244	6.10107876009488e-67	82	Nxph1	6.54128268623238
5.48931067429579e-68	0.877183040441744	0.407	0.047	1.77222395119639e-63	82	Cdh23	6.41728645375802
4.51611068151573e-67	1.38270794138856	0.717	0.15	1.45802633352735e-62	82	Syndig1	6.28267920868427
1.65188272964528e-61	1.82967104184335	0.965	0.287	5.3331033926598e-57	82	Cntnap5a	6.00649584443526
2.23691557519599e-46	1.13873226319944	0.416	0.071	7.22188193452026e-42	82	L3mbtl4	5.9888881990489
1.71988194915888e-45	1.34374436045598	0.522	0.112	5.55263887285944e-41	82	St6galnac5	5.85960655543101
4.58298946964837e-47	2.04049932929782	0.841	0.296	1.47961815027597e-42	82	Galntl6	5.67472199095571
2.03347496874372e-76	0.696488696293303	0.407	0.043	6.56507393658909e-72	82	Kcns3	5.47992049725108
3.98373705030249e-80	0.553645160600026	0.31	0.023	1.28614950669016e-75	82	Sox1ot	5.36868034521238
5.6633507121954e-52	0.757266478214724	0.31	0.036	1.82841277743229e-47	82	Stk33	5.26794071801547
1.93695664139577e-91	0.474921529585871	0.142	0.004	6.25346451674623e-87	82	Gm45680	5.1562908926466
3.36737047720251e-52	1.32162458130578	0.77	0.192	1.08715555856483e-47	82	Cntnap5b	5.10330283870547
9.16803025905836e-45	1.28286504515449	0.593	0.142	2.95989856913699e-40	82	Klhl1	5.08926067255368
2.10334126743925e-46	2.07313790759856	0.956	0.384	6.79063728192761e-42	82	Kcnip4	5.08287111355382
1.84036790448148e-54	0.589547869002865	0.168	0.011	5.94162777961846e-50	82	Espn	4.99712003250047
9.60191016631971e-68	2.33603428473441	0.991	0.464	3.09997669719632e-63	82	Nrxn3	4.93327071523027
8.25455979397145e-58	0.86724298895234	0.496	0.079	2.66498462948368e-53	82	Gm26862	4.93061744280769
9.54381375744751e-61	1.04940519483723	0.655	0.134	3.08122027159193e-56	82	Rasgrf2	4.84621149004693
2.6449549914181e-13	1.47999354629252	0.212	0.058	8.53923718979332e-09	82	Pkd2l1	4.83174363642556
2.2310849110696e-48	1.4522866112751	0.832	0.245	7.2030576353882e-44	82	Kcnc2	4.79539343801426
6.68486456623027e-52	1.42560965290478	0.796	0.23	2.15820852520744e-47	82	Dlgap2	4.78767241767189
4.35762415478855e-53	1.55406665651922	0.894	0.287	1.40685895837348e-48	82	Pdzrn4	4.73022308920329
2.6413943338974e-38	1.57265207582218	0.752	0.244	8.52774160698775e-34	82	Pigk	4.71795622746653
2.18032638649493e-52	1.34250703949199	0.796	0.22	7.03918373879887e-48	82	Plcxd3	4.70461162535019
3.11070538248165e-55	1.59447128219584	0.973	0.326	1.0042912327342e-50	82	Lrfn5	4.66477759047177
1.24417075007536e-34	0.959633733131001	0.345	0.064	4.0168052666183e-30	82	Reln	4.60364831434467
5.0395963382998e-49	1.42257217785321	0.876	0.267	1.62703367782009e-44	82	Kcnb2	4.55017671327779
1.05382047360861e-49	0.74969375573499	0.389	0.056	3.40225939904539e-45	82	Nell1os	4.53223952330699
8.82212573462766e-71	0.689675405632884	0.487	0.066	2.84822329342454e-66	82	G630016G05Rik	4.51011416578347
1.0521783367924e-54	0.820562743596087	0.478	0.079	3.39695776033425e-50	82	Chrna7	4.49926538061675
6.28677201662164e-32	1.41199247834106	0.602	0.184	2.02968434556629e-27	82	Sdk1	4.45432678734397
3.01275630320115e-56	1.50937103843059	0.973	0.325	9.7266837248849e-52	82	Ptprn2	4.42899024112617
3.5360910441491e-34	1.28460096699477	0.593	0.168	1.14162699360354e-29	82	Chrm3	4.3517661971789
1.05530247484378e-42	1.26612907328092	0.761	0.215	3.40704404003315e-38	82	Adarb2	4.33860229110929
3.47765734379856e-39	1.72504970597273	0.805	0.316	1.12276167344536e-34	82	Meis2	4.31262426493184
3.5009217938803e-54	1.13790294442458	0.788	0.208	1.13027260115426e-49	82	9630014M24Rik	4.16535114518722
1.67648657179234e-35	1.13107541814196	0.602	0.158	5.41253689703157e-31	82	Zfp804b	4.12034616608858
1.82316606027065e-30	1.5432584678766	0.735	0.27	5.88609162558378e-26	82	Cntn4	4.10616985202881
1.11216064761422e-52	1.38827460447071	0.956	0.317	3.5906106508225e-48	82	Rit2	4.10114149210615
4.29422678163795e-41	1.34554004832334	0.841	0.273	1.38639111645181e-36	82	Epha6	4.0461292619193
2.43691950164433e-44	0.853380935457681	0.496	0.097	7.86759461105872e-40	82	Baiap3	4.03561451721109
5.66205979721024e-44	1.20898134555466	0.805	0.236	1.82799600552933e-39	82	Fstl5	4.00536502693923
7.03466790120691e-46	1.37949166533741	0.938	0.318	2.27114253190465e-41	82	Usp29	3.98706737420691
1.1328142440738e-49	0.818981564082634	0.54	0.103	3.65729078699226e-45	82	Gad1	3.98619345349955
9.21715960066341e-45	2.16106018291704	0.973	0.523	2.97575997707418e-40	82	Dcc	3.98559504654306
4.20393816514657e-81	0.38709683000283	0.195	0.01	1.35724143661757e-76	82	7420701I03Rik	3.96774250752901
7.37821218878307e-39	0.969368354634925	0.531	0.123	2.38205580514861e-34	82	Gm28905	3.94306977336462
3.32096345822406e-44	1.10414299602392	0.735	0.199	1.07217305248764e-39	82	Srrm4	3.93582072745368
2.11175566671706e-45	0.754377641648483	0.416	0.072	6.81780316999603e-41	82	Trpc6	3.91908384563724
3.40597321446854e-37	1.2244996160387	0.726	0.223	1.09961845229117e-32	82	Kctd8	3.86794728499779
4.1603567817648e-42	1.14739609204948	0.717	0.206	1.34317118699276e-37	82	B230217J21Rik	3.86183777277764
1.24597108654262e-47	1.09817028826046	0.752	0.207	4.02261765290286e-43	82	Susd4	3.8562477403432
1.01648125519931e-38	1.16148346149737	0.726	0.212	3.28170973241099e-34	82	Unc5d	3.85068390838769
9.91697607192796e-35	1.27809641725105	0.752	0.245	3.20169572482194e-30	82	Gm15398	3.81925282331489
5.99354318732514e-42	0.882893567612802	0.513	0.111	1.93501541802792e-37	82	Galnt14	3.81614327158261
9.77908710318254e-41	1.39283755799443	0.894	0.32	3.15717827126249e-36	82	Nrg1	3.8155307649302
2.32089632233098e-43	1.52648340471863	0.965	0.383	7.49301377664558e-39	82	Nrg3	3.78707714911111
5.458222213056e-42	1.44697052356638	0.903	0.34	1.76218704148513e-37	82	Pde10a	3.7745259657603
7.24379612080535e-44	1.32005883590328	0.92	0.316	2.33865957760201e-39	82	Gm20642	3.76581201653389
3.67275816447857e-41	1.33231017714603	0.841	0.294	1.18574997340191e-36	82	Dab1	3.72959197615551
2.15546870837662e-49	1.40424594307827	0.965	0.358	6.95893072499391e-45	82	Dscam	3.72048857201445
8.31025240199406e-28	1.12454942654835	0.504	0.147	2.68296498798378e-23	82	Hs3st4	3.68164589328569
1.31704759183867e-39	1.00684437888837	0.593	0.155	4.25208815025114e-35	82	Fstl4	3.67955854830115
8.96690376343184e-38	1.14156135821252	0.726	0.22	2.89496488002397e-33	82	Cdh13	3.65299634628006
1.26875328432637e-46	0.928579366018543	0.637	0.156	4.09616997844769e-42	82	Frmpd3	3.61922198683131
3.49177651389486e-37	1.21643737586947	0.77	0.257	1.12732004751095e-32	82	Elavl2	3.55363727782093
7.26208828901623e-31	1.10204401165073	0.602	0.18	2.34456520410889e-26	82	Thsd7b	3.54974176384341
6.71162171445412e-43	1.87829577763226	0.973	0.513	2.16684707051151e-38	82	Opcml	3.53033412889582
8.66014300824702e-48	1.13476408100553	0.876	0.275	2.79592717021255e-43	82	Ksr2	3.52772272200315
2.28032014371416e-35	1.49111804393593	0.876	0.371	7.36201358398117e-31	82	Lingo2	3.46753434889038
1.1058493938272e-55	0.444766139909789	0.239	0.022	3.57023476797112e-51	82	Lmo1	3.46083652617304
2.445253332926e-43	1.23386508706693	0.929	0.325	7.89450038535158e-39	82	Myt1l	3.45850542315178
2.30056127212301e-44	1.38398501225725	0.965	0.385	7.42736206704912e-40	82	Agbl4	3.41616553658436
7.99653714923641e-47	0.421473877388345	0.168	0.012	2.58168201863097e-42	82	Gm16223	3.41010682614207
1.75312009328726e-44	1.28584435165367	0.973	0.364	5.65994822117793e-40	82	Rims1	3.37963903121807
1.06147053949891e-53	0.428301655719566	0.186	0.015	3.42695763677222e-49	82	Crb1	3.35788498084139
4.07872072613919e-44	1.20099215716942	0.965	0.343	1.31681498643404e-39	82	Erc2	3.31718796951894
2.08538804668411e-43	0.741295604036088	0.54	0.113	6.73267530871966e-39	82	Slc6a5	3.31473644081178
4.33909152043731e-42	1.10259854387665	0.858	0.279	1.40087569737319e-37	82	Gm32509	3.31161085150497
7.28326780414574e-36	0.968553088797864	0.655	0.186	2.35140301056845e-31	82	Zmat4	3.28616226556418
3.58236149736715e-46	1.01009741298745	0.858	0.258	1.15656540942499e-41	82	Mirg	3.27150953161606
1.53577807369182e-33	1.19652692374054	0.788	0.283	4.95825951091403e-29	82	Gria3	3.25880029059711
1.30718212727718e-27	1.31725821059758	0.841	0.339	4.22023749791437e-23	82	Syt1	3.21199638171501
2.43787337323535e-38	1.51293075402193	0.92	0.429	7.87067418549032e-34	82	Astn2	3.20506970669795
5.2985435858678e-43	0.751159842253851	0.593	0.136	1.71063479669742e-38	82	Lrtm1	3.10239304711693
1.09440295811427e-35	1.06059579469941	0.841	0.289	3.53327995027191e-31	82	Brinp1	3.01861880029831
5.64971252008639e-42	1.55583284267227	1	0.511	1.82400968710989e-37	82	Snhg11	3.01610589462378
3.81253092045589e-74	0.312779850466142	0.115	0.003	1.23087560766919e-69	82	B020031H02Rik	3.00749856217444
1.71161810799871e-18	1.01204794109769	0.416	0.135	5.52595906167382e-14	82	Vwc2l	2.97332705453528
2.34873697507959e-22	1.26092979781233	0.673	0.28	7.58289732404445e-18	82	Hs6st3	2.96970707553732
9.64557363684663e-39	0.947791702770431	0.752	0.234	3.11407344865593e-34	82	Tro	2.95990687504536
1.2237383804091e-37	1.06036534168225	0.85	0.301	3.95083936115079e-33	82	Klhl29	2.93219998021457
2.85653710605356e-29	0.996115423779083	0.708	0.234	9.22233004689393e-25	82	Egfem1	2.93119210767779
3.19780442300623e-28	0.592403244211008	0.257	0.044	1.03241115796756e-23	82	Pappa	2.92910492970999
5.05503945026089e-35	1.1367143300347	0.858	0.327	1.63201948651673e-30	82	Dpp10	2.92779833373922
1.94274583942669e-35	1.26506208836565	0.876	0.373	6.27215494258906e-31	82	Cacna2d3	2.92648827752471
2.53692166442947e-37	0.81067214935168	0.602	0.16	8.19045159361056e-33	82	Gpr45	2.91841973766605
2.78745220640512e-39	0.846742396850461	0.681	0.191	8.99928944837893e-35	82	Ankrd55	2.91094027971974
1.01779245681744e-41	0.747819316294914	0.611	0.15	3.28594294683511e-37	82	Col4a2	2.90247372136964
4.61369648524956e-25	1.0017004375629	0.575	0.192	1.48953191026282e-20	82	Pld5	2.90096413848663
3.20008671854239e-25	0.652082015431038	0.283	0.056	1.03314799708141e-20	82	Col8a1	2.89484894729234
6.45251451077079e-29	0.97440626685597	0.664	0.217	2.08319430980235e-24	82	Cdh12	2.89317103022433
5.32866366515494e-31	1.23940567780133	0.814	0.348	1.72035906429527e-26	82	Inpp4b	2.85271027516284
3.81329853896079e-27	1.14407889745421	0.85	0.336	1.23112343330349e-22	82	Gpc6	2.8436643115914
1.26512487088006e-31	0.76652433528656	0.487	0.124	4.08445564563626e-27	82	Tcerg1l	2.84300443759269
4.23555481405439e-33	0.990368282274233	0.805	0.274	1.36744887171746e-28	82	Scn9a	2.84207799314613
6.38852011457587e-44	0.731062212244006	0.637	0.157	2.06253371899082e-39	82	Rtl1	2.83231887019085
1.29998017829344e-35	1.08750989422045	0.903	0.342	4.19698600562038e-31	82	Unc80	2.82072878813431
1.12873532673164e-28	0.919890752092812	0.611	0.193	3.64412200235309e-24	82	Cntnap4	2.81405003472727
5.90410919668387e-40	0.964575021984111	0.894	0.303	1.90614165414939e-35	82	Cit	2.7858652392129
2.77734965047516e-38	0.904880479153321	0.77	0.244	8.96667334655907e-34	82	Jazf1	2.77876682574642
3.88909198704242e-32	0.906546654032266	0.814	0.26	1.25559334801665e-27	82	A230006K03Rik	2.76664608489847
1.47161127423893e-36	0.924879026276233	0.841	0.276	4.75109699888039e-32	82	Khdrbs2	2.75200017958418
1.43847084125156e-27	0.937852858507016	0.655	0.217	4.64410311098065e-23	82	Shisa9	2.74745440928267
2.59330285929814e-40	0.690410342224259	0.593	0.143	8.37247828124406e-36	82	Lamp5	2.72102899582502
2.59521890638272e-20	1.18166062053874	0.646	0.275	8.3786642392566e-16	82	Rgs6	2.71989251604706
6.22657153154614e-25	1.37336449752279	0.858	0.429	2.01024861895967e-20	82	Pcdh15	2.71544506571704
2.25397707929055e-35	0.585390464101669	0.416	0.082	7.27696500048955e-31	82	Gm48749	2.71061236638382
1.85667069980964e-40	0.881962285678616	0.85	0.27	5.99426135433542e-36	82	Cacna1b	2.70888416315575
8.78716836947555e-32	1.06716852900986	0.876	0.34	2.83693730808518e-27	82	Epha5	2.70146090486496
7.10349868699097e-32	1.18216104209333	0.92	0.397	2.29336455109503e-27	82	Asic2	2.70125250404618
1.78629700527419e-35	0.871086187980863	0.796	0.251	5.76705988152772e-31	82	Gm13629	2.69002094832404
3.98545268406817e-37	0.872701966585445	0.779	0.246	1.28670339905141e-32	82	B830012L14Rik	2.6896947329528
7.90661366564145e-37	0.722861112855759	0.566	0.145	2.55265022195234e-32	82	Gprin3	2.68624516777366
1.62424147808071e-30	1.04567128710416	0.85	0.325	5.24386361198356e-26	82	Rmst	2.68440987137188
5.34669258723642e-37	0.606610655000452	0.434	0.091	1.72617970178928e-32	82	Htr4	2.66668446356634
7.08936983693762e-34	0.93713492094969	0.761	0.261	2.28880305185531e-29	82	Pdcd7	2.66616614041406
6.55549252821794e-21	1.02882738288999	0.558	0.21	2.11644076273516e-16	82	6330411D24Rik	2.6562452430978
1.21672740920661e-37	0.634280588299415	0.504	0.113	3.92820444062355e-33	82	Adra1a	2.6505709137065
8.9502567507388e-34	0.947933566353999	0.876	0.307	2.88959039197602e-29	82	Atp8a2	2.64942946305881
1.81004303436308e-29	0.95718577402891	0.788	0.279	5.84372393644121e-25	82	Unc13c	2.64302507846045
6.69656335581826e-17	1.09763111097653	0.637	0.259	2.16198547942593e-12	82	Pard3b	2.6400272446164
